question_id,TBS,QBS,tradeduration,SumofPrevious,questionduration,DaystoClose,categoryid
853,0.080000008,2.00E-05,0.020833333,87.03749997,103.93976,16.90226003,4
853,0.072200011,7.00E-05,0.1,87.13749997,103.93976,16.80226003,4
853,0.064799978,0.00047,0.784027778,87.92152775,103.93976,16.01823225,4
853,0.064799978,1.00E-05,0.008333333,87.92986108,103.93976,16.00989892,4
853,0.088200038,0,0.001388889,87.93124997,103.93976,16.00851003,4
853,0.03380006,1.00E-05,0.025,87.95624997,103.93976,15.98351003,4
853,0.018024483,0,0.028472222,87.98472219,103.93976,15.95503781,4
853,0.0242,0,0,87.98472219,103.93976,15.95503781,4
853,0.028800016,0,0.001388889,87.98611108,103.93976,15.95364892,4
853,0.044999988,5.00E-05,0.127777778,88.11388886,103.93976,15.82587114,4
853,0.033799992,1.00E-05,0.034722222,88.14861108,103.93976,15.79114892,4
853,0.079999972,5.00E-05,0.071527778,88.22013886,103.93976,15.71962114,4
853,0.064800065,0.0002,0.322916667,88.54305553,103.93976,15.39670447,4
853,0.044999979,0.00054,1.294444444,89.83749997,103.93976,14.10226003,4
853,0.06480005,1.00E-05,0.017361111,89.85486108,103.93976,14.08489892,4
853,0.124999965,0.00015,0.130555556,89.98541664,103.93976,13.95434336,4
853,0.064799978,1.00E-05,0.015277778,90.00069442,103.93976,13.93906558,4
853,0.125000045,0.00048,0.406944444,90.40763886,103.93976,13.53212114,4
853,0.045000024,3.00E-05,0.059722222,90.46736108,103.93976,13.47239892,4
853,0.180000024,0.00074,0.438888889,90.90624997,103.93976,13.03351003,4
853,0.044999979,0,0.007638889,90.91388886,103.93976,13.02587114,4
853,0.18,2.00E-05,0.010416667,90.92430553,103.93976,13.01545447,4
853,0.044999955,0,0.002777778,90.92708331,103.93976,13.01267669,4
853,0.045000036,0,0.000694444,90.92777775,103.93976,13.01198225,4
853,0.044999976,0.00039,0.93125,91.85902775,103.93976,12.08073225,4
853,0.179999988,0.00029,0.170833333,92.02986108,103.93976,11.90989892,4
853,0.044999928,3.00E-05,0.063194444,92.09305553,103.93976,11.84670447,4
853,0.045000012,0,0.004861111,92.09791664,103.93976,11.84184336,4
853,0.045000018,0,0.002083333,92.09999997,103.93976,11.83976003,4
853,0.179999988,0.00014,0.08125,92.18124997,103.93976,11.75851003,4
853,0.044999934,1.00E-05,0.023611111,92.20486108,103.93976,11.73489892,4
853,0.044999865,3.00E-05,0.066666667,92.27152775,103.93976,11.66823225,4
853,0.04500006,2.00E-05,0.057638889,92.32916664,103.93976,11.61059336,4
853,0.180000024,0.00017,0.1,92.42916664,103.93976,11.51059336,4
853,0.044999937,0.00021,0.503472222,92.93263886,103.93976,11.00712114,4
853,0.18,0.00156,0.929166667,93.86180553,103.93976,10.07795447,4
853,0.044999988,0,0.009722222,93.87152775,103.93976,10.06823225,4
853,0.18000006,2.00E-05,0.013194444,93.88472219,103.93976,10.05503781,4
853,0.044999943,0.00294,6.995833333,100.8805555,103.93976,3.059204474,4
853,0.180000024,-0.16965,3.059027778,103.9395833,103.93976,0.000176696,4
854,0.045000057,5.00E-05,0.048611111,0.048611111,44.62824,44.57962889,2
854,0.179999958,0.00024,0.059722222,0.108333333,44.62824,44.51990667,2
854,0.045000033,0,0.000694444,0.109027777,44.62824,44.51921222,2
854,0.180000024,0,0.000694444,0.109722221,44.62824,44.51851778,2
854,0.044999997,0,0.001388889,0.11111111,44.62824,44.51712889,2
854,0.18,0.00281,0.697222222,0.808333332,44.62824,43.81990667,2
854,0.044999928,0.00253,2.50625,3.314583332,44.62824,41.31365667,2
854,0.18,0.02707,6.713888889,10.02847222,44.62824,34.59976778,2
854,0.044999979,0.00143,1.417361111,11.44583333,44.62824,33.18240667,2
854,0.180000084,0.00617,1.53125,12.97708333,44.62824,31.65115667,2
854,0.045000012,3.00E-05,0.034027778,13.01111111,44.62824,31.61712889,2
854,0.044999994,2.00E-05,0.020833333,13.03194444,44.62824,31.59629556,2
854,0.045000051,0.0051,5.059722222,18.09166666,44.62824,26.53657334,2
854,0.179999958,0.01627,4.034722222,22.12638889,44.62824,22.50185111,2
854,0.044999916,0,0.000694444,22.12708333,44.62824,22.50115667,2
854,0.179999958,0.00177,0.438888889,22.56597222,44.62824,22.06226778,2
854,0.044999997,0,0.003472222,22.56944444,44.62824,22.05879556,2
854,0.045000024,0.00141,1.402083333,23.97152778,44.62824,20.65671223,2
