"user_id","user_role_id","updated_at","created_at"
6103,3,"2014-06-22 15:27:45.217634","2014-06-22 15:27:45.217634"
6104,3,"2014-06-22 15:28:40.623497","2014-06-22 15:28:40.623497"
6108,3,"2014-06-22 15:41:01.113226","2014-06-22 15:41:01.113226"
6109,3,"2014-06-22 15:42:00.242573","2014-06-22 15:42:00.242573"
6130,3,"2014-06-22 15:53:08.312081","2014-06-22 15:53:08.312081"
6131,3,"2014-06-22 15:54:07.090897","2014-06-22 15:54:07.090897"
6136,3,"2014-06-22 16:12:59.299282","2014-06-22 16:12:59.299282"
6152,3,"2014-06-22 16:24:38.378074","2014-06-22 16:24:38.378074"
6159,3,"2014-06-22 16:37:34.513242","2014-06-22 16:37:34.513242"
6166,3,"2014-06-22 16:42:04.088509","2014-06-22 16:42:04.088509"
6167,3,"2014-06-22 16:42:35.885668","2014-06-22 16:42:35.885668"
6168,3,"2014-06-22 16:42:42.508075","2014-06-22 16:42:42.508075"
6174,3,"2014-06-22 16:48:26.939566","2014-06-22 16:48:26.939566"
6177,3,"2014-06-22 16:59:46.815412","2014-06-22 16:59:46.815412"
6185,3,"2014-06-22 17:16:14.544208","2014-06-22 17:16:14.544208"
6195,3,"2014-06-22 17:37:29.213677","2014-06-22 17:37:29.213677"
6196,3,"2014-06-22 17:39:12.692126","2014-06-22 17:39:12.692126"
6198,3,"2014-06-22 17:40:51.847815","2014-06-22 17:40:51.847815"
6202,3,"2014-06-22 17:43:41.859548","2014-06-22 17:43:41.859548"
5572,3,"2014-06-22 02:27:50.847873","2014-06-22 02:27:50.847873"
5577,3,"2014-06-22 02:41:12.149729","2014-06-22 02:41:12.149729"
5579,3,"2014-06-22 02:43:24.84739","2014-06-22 02:43:24.84739"
5585,3,"2014-06-22 02:54:52.96901","2014-06-22 02:54:52.96901"
5588,3,"2014-06-22 03:01:28.795746","2014-06-22 03:01:28.795746"
5593,3,"2014-06-22 03:05:54.544042","2014-06-22 03:05:54.544042"
5595,3,"2014-06-22 03:07:21.759738","2014-06-22 03:07:21.759738"
5599,3,"2014-06-22 03:13:41.911503","2014-06-22 03:13:41.911503"
5602,3,"2014-06-22 03:14:32.759623","2014-06-22 03:14:32.759623"
5604,3,"2014-06-22 03:16:30.059549","2014-06-22 03:16:30.059549"
5616,3,"2014-06-22 03:28:52.423863","2014-06-22 03:28:52.423863"
5618,3,"2014-06-22 03:30:14.27494","2014-06-22 03:30:14.27494"
5622,3,"2014-06-22 03:38:58.085472","2014-06-22 03:38:58.085472"
5627,3,"2014-06-22 03:43:28.346022","2014-06-22 03:43:28.346022"
5636,3,"2014-06-22 04:03:44.200885","2014-06-22 04:03:44.200885"
5642,3,"2014-06-22 04:11:17.776329","2014-06-22 04:11:17.776329"
5643,3,"2014-06-22 04:11:50.94907","2014-06-22 04:11:50.94907"
5644,3,"2014-06-22 04:12:04.51672","2014-06-22 04:12:04.51672"
5646,3,"2014-06-22 04:15:27.085092","2014-06-22 04:15:27.085092"
5659,3,"2014-06-22 04:43:26.901528","2014-06-22 04:43:26.901528"
5664,3,"2014-06-22 04:52:14.296172","2014-06-22 04:52:14.296172"
5671,3,"2014-06-22 05:04:06.431556","2014-06-22 05:04:06.431556"
5672,3,"2014-06-22 05:06:03.506902","2014-06-22 05:06:03.506902"
5674,3,"2014-06-22 05:10:29.611046","2014-06-22 05:10:29.611046"
5684,3,"2014-06-22 05:25:27.386587","2014-06-22 05:25:27.386587"
5688,3,"2014-06-22 05:37:15.130692","2014-06-22 05:37:15.130692"
5692,3,"2014-06-22 05:43:36.870174","2014-06-22 05:43:36.870174"
5694,3,"2014-06-22 05:45:01.368517","2014-06-22 05:45:01.368517"
5701,3,"2014-06-22 05:57:42.571359","2014-06-22 05:57:42.571359"
5703,3,"2014-06-22 05:59:28.475948","2014-06-22 05:59:28.475948"
5705,3,"2014-06-22 06:14:31.892356","2014-06-22 06:14:31.892356"
5706,3,"2014-06-22 06:16:04.775939","2014-06-22 06:16:04.775939"
5708,3,"2014-06-22 06:19:55.898238","2014-06-22 06:19:55.898238"
5711,3,"2014-06-22 06:27:07.802404","2014-06-22 06:27:07.802404"
5718,3,"2014-06-22 06:49:01.450971","2014-06-22 06:49:01.450971"
5719,3,"2014-06-22 06:54:35.934921","2014-06-22 06:54:35.934921"
5721,3,"2014-06-22 06:55:04.373512","2014-06-22 06:55:04.373512"
5722,3,"2014-06-22 06:55:16.463511","2014-06-22 06:55:16.463511"
5726,3,"2014-06-22 07:08:14.101787","2014-06-22 07:08:14.101787"
5730,3,"2014-06-22 07:18:47.644271","2014-06-22 07:18:47.644271"
5734,3,"2014-06-22 07:25:02.792136","2014-06-22 07:25:02.792136"
5735,3,"2014-06-22 07:28:22.951177","2014-06-22 07:28:22.951177"
5737,3,"2014-06-22 07:29:14.292067","2014-06-22 07:29:14.292067"
5743,3,"2014-06-22 07:45:39.456276","2014-06-22 07:45:39.456276"
5749,3,"2014-06-22 07:55:08.843864","2014-06-22 07:55:08.843864"
5750,3,"2014-06-22 07:57:13.883383","2014-06-22 07:57:13.883383"
5758,3,"2014-06-22 08:15:30.525536","2014-06-22 08:15:30.525536"
