"id","user_id","type","per_trade_limit","total_budget","target","is_power_mode","is_active","start_date","end_date","created_at","updated_at"
130,8920,"recurring",NULL,"241.6899712799",NULL,True,False,"2014-07-15 00:57:24.974802",NULL,"2014-07-15 00:57:24.95309","2014-07-15 00:57:24.95309"
123,8920,"recurring",NULL,"300",NULL,True,False,"2014-07-14 00:49:27.583298",NULL,"2014-07-14 00:49:27.567706","2014-07-14 00:49:27.567706"
145,8920,"recurring",NULL,"286.74991092549",NULL,True,False,"2014-07-17 11:13:18.095775",NULL,"2014-07-17 11:13:18.070712","2014-07-17 11:13:18.070712"
140,8920,"recurring",NULL,"293.52019702261",NULL,True,False,"2014-07-17 11:02:28.133127",NULL,"2014-07-17 11:02:28.059264","2014-07-17 11:02:28.059264"
146,8920,"recurring",NULL,"292.101985138835",NULL,True,False,"2014-07-17 11:13:56.402898",NULL,"2014-07-17 11:13:56.374636","2014-07-17 11:13:56.374636"
136,7129,"recurring","100",NULL,NULL,False,True,"2014-07-16 00:05:49.299041","2014-07-23 00:05:49.299041","2014-07-16 00:05:49.264125","2014-07-16 00:05:49.264125"
137,7129,"recurring","100",NULL,NULL,False,True,"2014-07-16 00:10:03.16773","2014-07-23 00:10:03.16773","2014-07-16 00:10:03.132776","2014-07-16 00:10:03.132776"
142,8920,"recurring",NULL,"0.5",NULL,True,True,"2014-07-17 11:09:13.0458",NULL,"2014-07-17 11:09:13.016559","2014-07-17 11:09:13.016559"
143,8920,"recurring",NULL,"283.011506396",NULL,True,False,"2014-07-17 11:10:46.954131",NULL,"2014-07-17 11:10:46.929352","2014-07-17 11:10:46.929352"
138,8928,"recurring",NULL,"0.5",NULL,True,True,"2014-07-16 15:28:12.369514",NULL,"2014-07-16 15:28:12.35534","2014-07-16 15:28:12.35534"
147,8934,"recurring","100",NULL,NULL,False,True,"2014-07-17 11:47:59.371356","2014-07-24 11:47:59.371356","2014-07-17 11:47:59.358567","2014-07-17 11:47:59.358567"
127,8920,"recurring",NULL,"209.84339818038",NULL,True,False,"2014-07-14 00:56:50.037403",NULL,"2014-07-14 00:56:50.005256","2014-07-14 00:56:50.005256"
122,8920,"recurring",NULL,"123.5488012229",NULL,True,False,"2014-07-14 00:48:56.054987",NULL,"2014-07-14 00:48:56.039912","2014-07-14 00:48:56.039912"
121,8920,"recurring",NULL,"95.5631747386",NULL,True,False,"2014-07-14 00:47:39.188976",NULL,"2014-07-14 00:47:39.175283","2014-07-14 00:47:39.175283"
150,8944,"recurring","100",NULL,NULL,False,True,"2014-07-20 10:17:56.789236","2014-07-27 10:17:56.789236","2014-07-20 10:17:56.776633","2014-07-20 10:17:56.776633"
149,8942,"recurring","100",NULL,NULL,False,True,"2014-07-19 02:35:07.136887","2014-07-26 02:35:07.136887","2014-07-19 02:35:07.123256","2014-07-19 02:35:07.123256"
151,8945,"recurring","100",NULL,NULL,False,True,"2014-07-20 10:32:04.624477","2014-07-27 10:32:04.624477","2014-07-20 10:32:04.611612","2014-07-20 10:32:04.611612"
148,8920,"recurring",NULL,"0.5",NULL,True,True,"2014-07-18 00:41:11.648967",NULL,"2014-07-18 00:41:11.621181","2014-07-18 00:41:11.621181"
152,270,"recurring","100",NULL,NULL,False,True,"2014-07-20 11:03:24.702474","2014-07-27 11:03:24.702474","2014-07-20 11:03:24.689334","2014-07-20 11:03:24.689334"
153,8946,"recurring","100",NULL,NULL,False,True,"2014-07-20 11:12:11.654476","2014-07-27 11:12:11.654476","2014-07-20 11:12:11.641558","2014-07-20 11:12:11.641558"
154,8946,"recurring","100",NULL,NULL,False,True,"2014-07-20 11:21:27.608518","2014-07-27 11:21:27.608518","2014-07-20 11:21:27.594513","2014-07-20 11:21:27.594513"
155,8957,"recurring","100",NULL,NULL,False,True,"2014-07-20 14:52:44.935712","2014-07-27 14:52:44.935712","2014-07-20 14:52:44.92276","2014-07-20 14:52:44.92276"
156,8946,"recurring","100",NULL,NULL,False,True,"2014-07-20 15:31:42.042095","2014-07-27 15:31:42.042095","2014-07-20 15:31:42.027158","2014-07-20 15:31:42.027158"
135,85,"recurring",NULL,"296.09008822174",NULL,True,True,"2014-07-15 16:52:27.841314",NULL,"2014-07-15 16:52:27.827414","2014-07-15 16:52:27.827414"
